time,code10,Vout,Rntc,TempC
19:36:44.789,482,1.5548,8909.4,28.02
19:36:44.810,480,1.5484,8839.8,28.23
19:36:44.830,480,1.5484,8839.8,28.23
19:36:44.849,480,1.5484,8839.8,28.23
19:36:44.870,480,1.5484,8839.8,28.23
19:36:44.890,480,1.5484,8839.8,28.23
19:36:44.909,480,1.5484,8839.8,28.23
19:36:44.930,480,1.5484,8839.8,28.23
19:36:44.949,478,1.5419,8770.6,28.43
19:36:44.970,480,1.5484,8839.8,28.23
19:36:44.989,480,1.5484,8839.8,28.23
19:36:45.010,480,1.5484,8839.8,28.23
19:36:45.030,480,1.5484,8839.8,28.23
19:36:45.050,481,1.5516,8874.5,28.12
19:36:45.070,481,1.5516,8874.5,28.12
19:36:45.090,480,1.5484,8839.8,28.23
19:36:45.110,480,1.5484,8839.8,28.23
19:36:45.130,480,1.5484,8839.8,28.23
19:36:45.149,480,1.5484,8839.8,28.23
19:36:45.170,480,1.5484,8839.8,28.23
19:36:45.190,480,1.5484,8839.8,28.23
19:36:45.210,480,1.5484,8839.8,28.23
19:36:45.230,480,1.5484,8839.8,28.23
19:36:45.251,480,1.5484,8839.8,28.23
19:36:45.270,480,1.5484,8839.8,28.23
19:36:45.290,480,1.5484,8839.8,28.23
19:36:45.310,480,1.5484,8839.8,28.23
19:36:45.331,480,1.5484,8839.8,28.23
19:36:45.351,481,1.5516,8874.5,28.12
19:36:45.370,480,1.5484,8839.8,28.23
19:36:45.391,480,1.5484,8839.8,28.23
19:36:45.410,480,1.5484,8839.8,28.23
19:36:45.431,480,1.5484,8839.8,28.23
19:36:45.451,480,1.5484,8839.8,28.23
19:36:45.470,480,1.5484,8839.8,28.23
19:36:45.491,480,1.5484,8839.8,28.23
19:36:45.511,480,1.5484,8839.8,28.23
19:36:45.531,480,1.5484,8839.8,28.23
19:36:45.551,480,1.5484,8839.8,28.23
19:36:45.571,480,1.5484,8839.8,28.23
19:36:45.591,480,1.5484,8839.8,28.23
19:36:45.611,480,1.5484,8839.8,28.23
19:36:45.631,480,1.5484,8839.8,28.23
19:36:45.651,480,1.5484,8839.8,28.23
19:36:45.671,480,1.5484,8839.8,28.23
19:36:45.690,480,1.5484,8839.8,28.23
19:36:45.711,480,1.5484,8839.8,28.23
19:36:45.732,480,1.5484,8839.8,28.23
19:36:45.752,480,1.5484,8839.8,28.23
19:36:45.771,481,1.5516,8874.5,28.12
19:36:45.791,481,1.5516,8874.5,28.12
19:36:45.812,478,1.5419,8770.6,28.43
19:36:45.832,480,1.5484,8839.8,28.23
19:36:45.851,481,1.5516,8874.5,28.12
19:36:45.871,480,1.5484,8839.8,28.23
19:36:45.892,480,1.5484,8839.8,28.23
19:36:45.912,480,1.5484,8839.8,28.23
19:36:45.932,480,1.5484,8839.8,28.23
19:36:45.952,480,1.5484,8839.8,28.23
19:36:45.972,480,1.5484,8839.8,28.23
19:36:45.992,480,1.5484,8839.8,28.23
19:36:46.012,480,1.5484,8839.8,28.23
19:36:46.032,480,1.5484,8839.8,28.23
19:36:46.051,480,1.5484,8839.8,28.23
19:36:46.072,481,1.5516,8874.5,28.12
19:36:46.092,480,1.5484,8839.8,28.23
19:36:46.112,480,1.5484,8839.8,28.23
19:36:46.132,480,1.5484,8839.8,28.23
19:36:46.152,480,1.5484,8839.8,28.23
19:36:46.173,481,1.5516,8874.5,28.12
19:36:46.192,481,1.5516,8874.5,28.12
